ID,Drama,Comedy,Action,Thriller,Sci-Fi,Romance,Adventure,Crime,War,Horror,Children,Animation,Mystery,Musical,Fantasy,Film-Noir,Western,Documentary
1401,32,14,8,9,5,8,3,9,3,0,2,1,3,3,1,4,1,2
1402,24,14,10,10,4,9,5,5,3,1,6,3,4,4,2,1,0,0
1403,10,20,24,9,39,8,24,2,5,3,8,2,0,1,17,2,0,0
1404,87,263,34,22,20,51,22,21,42,9,25,11,9,15,5,18,2,1
1405,20,16,5,6,3,7,1,6,5,14,0,0,1,1,0,1,1,0
1406,16,4,3,1,1,3,1,4,1,0,2,0,0,0,1,0,0,0
1407,112,64,20,30,10,32,7,23,7,2,12,10,4,4,4,3,1,0
1408,27,16,111,60,28,8,26,18,11,16,1,0,7,1,0,0,1,12
1409,27,36,23,14,26,8,12,10,5,4,0,2,2,0,2,3,0,2
1410,20,18,18,16,18,7,12,3,5,13,9,5,5,3,3,0,1,0
1411,18,29,10,6,5,5,3,3,0,6,3,4,1,2,1,2,0,0
1412,9,7,10,7,4,0,6,8,0,2,1,1,2,0,0,1,0,0
1413,70,55,53,64,32,31,20,24,9,4,3,3,9,2,1,12,0,0
1414,7,12,73,32,21,9,28,8,9,3,2,1,1,0,1,0,1,0
1415,82,63,40,19,19,26,29,13,22,4,12,12,5,6,6,2,4,1
1416,9,9,2,2,3,3,2,0,0,3,1,1,0,0,1,0,0,0
1417,14,5,10,8,6,3,3,1,2,1,2,3,0,1,0,0,0,0
1418,48,70,193,83,106,30,80,20,12,26,18,6,6,4,15,1,5,1
1419,16,20,7,10,8,7,5,1,2,16,1,0,0,1,0,0,1,0
1420,95,63,95,87,49,30,45,35,22,36,11,2,12,5,24,5,19,2
1421,74,102,17,18,21,27,12,15,10,3,13,12,6,11,12,2,1,6
1422,204,287,162,88,113,78,117,36,54,75,117,51,16,41,25,6,28,1
1423,32,66,3,6,2,8,1,6,2,3,1,4,1,2,0,0,1,1
1424,9,7,7,13,7,2,2,5,2,39,0,0,2,0,0,0,0,0
1425,224,335,139,121,96,96,93,37,25,52,106,52,28,45,37,12,7,7
1426,132,130,123,72,55,60,60,30,28,15,57,35,14,27,19,6,12,2
1427,39,52,31,18,22,12,21,7,12,6,47,51,0,19,6,1,14,1
1428,15,12,6,9,13,6,9,2,4,10,3,2,0,6,0,2,0,0
1429,12,6,4,6,1,5,2,1,1,1,2,1,1,3,0,1,0,0
1430,39,67,18,21,15,10,6,17,6,4,2,3,4,1,1,1,0,1
1431,8,7,8,4,4,2,3,1,3,3,1,0,0,1,0,0,0,0
1432,9,15,8,6,9,4,5,2,1,2,1,4,2,0,0,2,0,0
1433,8,21,79,27,27,8,31,9,7,0,13,6,4,1,7,0,0,0
1434,31,181,62,35,59,41,47,12,6,38,63,14,6,11,17,0,1,0
1435,14,13,6,6,5,3,4,1,0,3,1,0,0,2,0,0,0,3
1436,33,23,8,15,4,10,5,2,3,2,1,1,5,0,1,2,0,0
1437,86,33,24,28,17,22,12,13,23,4,0,0,3,3,0,4,4,0
1438,10,22,7,10,10,2,4,1,0,4,10,4,0,2,1,0,1,0
1439,10,4,3,11,1,1,0,6,2,1,1,0,7,1,0,14,0,0
1440,80,34,30,22,27,10,11,14,17,10,3,2,3,3,4,2,2,1
1441,19,77,11,9,11,20,8,6,3,16,0,0,2,1,1,0,1,0
1442,52,25,38,24,66,12,25,8,5,9,44,47,1,22,7,2,0,0
1443,18,9,10,4,6,4,7,8,6,2,2,1,3,2,2,2,0,0
1444,11,10,8,7,4,4,2,3,2,4,0,0,2,0,0,0,0,0
1445,14,6,10,5,8,2,2,5,1,1,3,2,1,1,1,1,0,0
1446,39,37,9,16,9,7,4,15,8,7,2,0,7,4,1,15,4,1
1447,274,344,257,202,140,116,119,74,56,140,81,45,40,34,33,16,17,2
1448,493,347,184,192,79,143,81,81,38,100,40,8,40,23,21,9,14,11
1449,439,462,269,217,118,157,125,104,66,97,91,34,51,37,30,25,28,16
1450,25,82,13,11,9,17,8,5,5,9,12,7,0,4,2,0,0,0
1451,319,202,178,111,105,118,96,45,68,55,46,34,26,34,22,8,21,7
1452,11,9,1,5,3,1,1,1,1,0,0,0,1,0,0,1,1,0
1453,7,17,1,5,3,2,0,0,0,2,3,2,0,0,1,0,0,0
1454,13,3,9,2,2,6,3,0,15,0,0,0,0,0,1,0,1,0
1455,38,17,11,6,10,43,5,4,8,2,1,0,1,0,3,1,1,0
1456,12,6,10,6,1,1,0,6,2,0,0,0,0,0,0,0,0,1
1457,157,118,52,45,30,42,34,31,18,9,19,11,8,12,9,3,6,6
1458,33,46,9,13,13,7,8,8,8,7,13,17,2,7,2,4,0,0
1459,7,19,1,0,0,4,0,1,1,0,2,1,0,0,0,0,0,0
1460,11,13,7,4,4,4,4,0,6,2,3,1,0,2,0,0,1,0
1461,17,11,6,14,8,3,4,4,2,15,0,0,11,3,0,3,0,0
1462,11,17,10,6,9,5,6,0,4,3,3,2,0,5,0,0,0,1
1463,33,33,47,23,60,45,29,4,7,4,3,1,1,0,5,0,2,0
1464,21,26,72,27,20,17,24,7,25,1,3,1,4,1,8,2,5,0
1465,262,138,138,95,72,79,72,39,59,53,24,14,27,41,10,9,23,1
1466,52,101,151,61,45,40,53,33,19,6,10,6,7,3,7,1,5,1
1467,36,30,17,22,12,4,6,3,1,4,2,3,3,2,0,0,0,0
1468,19,13,98,47,26,8,28,16,11,4,1,1,3,1,3,0,1,0
1469,6,28,2,1,1,7,1,1,3,0,1,2,1,1,0,0,1,0
1470,277,246,123,103,70,85,61,38,32,67,34,16,16,18,13,7,12,25
1471,13,9,8,6,5,0,3,0,2,2,0,0,0,0,1,0,0,0
1472,58,33,175,57,54,35,70,22,21,8,17,10,5,17,20,0,5,0
1473,56,39,199,63,53,26,62,22,27,14,4,1,8,3,6,2,10,1
1474,58,32,32,19,47,10,19,4,9,11,9,7,3,12,4,2,1,2
1475,51,24,10,8,2,53,3,10,10,1,1,0,1,1,0,0,1,0
1476,24,18,12,11,5,20,5,3,5,1,24,23,2,15,2,4,0,0
1477,9,9,1,11,6,1,2,1,1,4,0,0,10,0,0,3,0,0
1478,18,12,4,2,3,7,1,2,3,0,3,1,1,2,1,0,0,1
1479,19,9,2,4,0,19,0,1,4,0,0,0,1,3,0,0,0,0
1480,22,15,7,11,5,3,2,3,3,1,1,0,1,1,1,0,1,0
1481,36,31,13,10,11,16,13,5,8,1,31,38,1,17,3,3,4,2
1482,23,18,12,16,7,6,6,4,2,4,5,5,6,0,1,2,1,0
1483,70,53,121,56,77,28,70,32,20,30,16,15,10,6,24,11,3,0
1484,152,108,57,53,40,38,21,32,24,8,11,13,11,7,4,5,5,10
1485,10,15,4,6,3,2,4,3,0,2,1,0,1,0,0,1,0,0
1486,14,13,15,14,11,5,6,0,1,4,3,4,3,1,0,0,0,0
1487,14,12,6,12,3,6,4,1,2,3,1,0,1,13,0,0,0,0
1488,11,2,14,5,7,2,4,4,5,1,0,0,0,0,2,0,0,0
1489,174,197,88,84,58,87,54,37,17,26,44,28,22,41,12,10,7,6
1490,44,26,149,51,35,14,38,19,22,7,0,0,4,1,2,0,33,0
1491,121,110,39,34,18,47,15,18,17,8,14,11,8,14,3,1,4,5
1492,28,45,44,25,32,10,13,8,8,1,8,8,2,2,4,1,0,2
1493,5,17,2,1,1,5,1,2,2,0,5,3,0,0,0,0,0,0
1494,24,37,18,8,15,8,19,6,6,18,21,10,2,20,19,1,1,3
1495,30,60,33,22,50,9,42,5,6,1,99,67,4,25,18,3,1,1
1496,55,263,179,95,144,42,102,30,17,178,44,29,12,17,28,3,8,0
1497,39,39,148,52,50,18,46,23,16,28,1,0,3,4,4,1,5,0
1498,52,22,39,28,20,14,17,12,17,5,0,5,3,0,1,4,3,2
1499,23,36,74,55,41,11,29,8,8,3,11,2,5,1,6,1,2,0
1500,37,78,12,15,10,15,6,7,0,3,4,5,3,3,4,1,0,0
1501,99,304,120,42,74,85,118,10,27,10,127,56,5,40,36,1,16,0
1502,67,108,102,70,49,26,46,16,15,19,30,11,10,6,14,0,4,0
1503,104,73,78,57,47,38,35,22,31,25,9,6,13,5,12,7,12,1
1504,7,15,31,13,14,4,12,6,3,3,0,0,0,0,1,0,0,0
1505,154,147,28,27,30,56,21,14,28,10,5,3,15,10,9,6,10,11
1506,39,35,30,7,21,16,24,3,15,2,16,13,1,16,5,3,3,1
1507,23,62,14,10,14,14,10,4,7,8,21,24,2,20,0,2,2,0
1508,12,3,16,8,5,4,4,4,2,1,2,0,0,0,1,0,0,0
1509,49,96,101,122,93,20,47,21,17,36,27,21,18,10,10,3,2,0
1510,11,13,8,7,8,7,5,1,5,9,1,0,2,1,0,0,1,0
1511,37,17,29,18,11,12,20,5,23,3,5,4,14,11,3,5,1,1
1512,10,19,10,7,7,0,6,1,2,6,1,0,0,1,2,0,0,1
1513,56,23,29,41,19,29,23,5,33,14,6,2,24,7,2,11,8,0
1514,47,53,32,24,32,10,14,10,10,7,2,2,3,2,5,4,2,3
1515,11,10,8,1,5,1,7,0,4,1,3,1,0,4,1,0,0,0
1516,65,171,86,54,34,47,26,25,13,13,8,11,7,7,4,1,5,1
1517,33,18,6,11,3,3,1,8,2,0,2,2,2,2,0,0,1,8
1518,5,3,12,6,20,5,6,0,4,2,1,0,0,0,3,1,0,0
1519,31,33,14,19,16,6,9,7,5,11,2,0,3,4,1,4,0,2
1520,11,5,12,6,6,3,6,2,3,3,0,0,1,0,0,0,1,0
1521,39,13,11,32,4,6,1,16,2,2,0,0,23,0,1,2,0,0
1522,15,8,36,19,72,3,25,5,6,6,4,2,1,0,9,2,1,0
1523,29,48,46,13,14,7,11,9,13,4,2,0,0,4,3,0,4,0
1524,67,78,61,50,33,50,44,18,15,34,41,27,10,19,14,4,3,3
1525,26,52,2,7,3,17,2,10,4,2,11,12,4,32,1,8,0,14
1526,21,14,1,0,1,17,2,0,5,0,1,0,0,3,1,0,1,0
1527,52,25,23,18,12,9,7,9,9,4,0,0,5,0,1,5,2,4
1528,21,25,17,14,10,9,10,1,4,16,3,3,1,1,2,1,1,0
1529,4,7,20,8,7,3,26,1,1,1,4,0,2,0,3,0,2,0
1530,135,173,94,62,73,52,56,32,16,27,18,11,15,12,15,9,10,7
1531,8,12,6,9,10,2,5,1,1,9,4,2,0,3,0,0,0,0
1532,64,72,8,13,6,14,6,9,8,5,10,6,3,3,2,0,0,1
1533,26,23,14,20,12,7,5,2,3,8,2,4,2,2,1,2,1,0
1534,19,4,2,3,0,0,0,1,2,0,0,0,1,0,0,0,1,0
1535,11,24,0,2,2,2,1,2,3,1,3,0,0,0,2,0,1,0
1536,11,16,9,3,5,4,5,2,4,7,4,0,0,0,8,0,2,0
1537,15,10,15,14,4,2,6,0,2,2,0,0,0,0,0,0,0,2
1538,21,54,19,5,19,12,17,5,5,4,10,8,2,5,4,0,2,0
1539,10,2,2,8,1,4,2,4,2,3,0,0,5,0,0,8,0,0
1540,39,34,22,26,19,17,18,10,12,3,11,9,9,18,14,17,0,2
1541,15,4,7,6,4,2,3,4,5,4,0,0,2,1,0,1,2,0
1542,102,63,132,73,64,42,55,31,20,7,28,22,8,10,19,1,8,1
1543,42,64,75,75,29,19,28,14,4,12,15,13,13,9,4,4,2,0
1544,52,58,44,35,56,12,26,7,6,9,9,11,4,5,2,3,1,1
1545,81,35,75,28,64,23,39,14,49,12,12,7,11,8,6,4,18,5
1546,139,159,82,80,20,46,31,35,18,5,20,13,18,11,11,2,8,2
1547,66,43,23,21,17,24,14,5,21,6,4,1,6,4,3,3,2,0
1548,21,14,6,7,5,4,7,3,4,4,0,2,2,0,0,2,1,0
1549,9,12,5,3,6,3,5,1,3,2,1,0,0,1,0,0,0,0
1550,19,5,3,7,1,3,0,3,5,0,0,0,2,0,0,1,0,2
1551,78,49,21,43,9,27,5,19,14,5,3,0,17,1,4,10,1,11
1552,116,101,55,39,26,34,26,26,22,5,15,12,12,12,6,4,6,8
1553,14,26,3,2,3,18,3,0,3,0,16,6,0,7,3,0,1,0
1554,15,4,9,24,4,8,1,4,3,2,1,1,3,1,0,4,0,0
1555,37,27,8,15,9,11,4,4,8,2,5,5,3,1,0,3,0,1
1556,95,165,79,48,42,48,42,22,24,7,69,26,9,28,18,7,11,0
1557,9,22,10,3,10,5,19,2,1,13,13,6,1,4,22,0,0,0
1558,6,1,20,6,16,3,8,0,4,2,0,1,0,0,1,0,0,0
1559,15,11,10,10,19,5,8,5,3,4,11,4,7,10,1,4,0,0
1560,30,63,85,30,36,33,41,7,11,12,10,5,2,7,7,1,5,0
1561,92,65,9,12,9,41,7,5,9,1,15,13,7,20,0,2,2,0
1562,6,4,2,11,3,2,0,1,0,35,0,0,3,0,0,0,0,0
1563,27,36,11,14,12,10,8,3,3,8,8,7,4,6,1,3,0,0
1564,20,32,108,48,22,15,26,24,7,3,3,0,2,1,5,1,3,0
1565,12,44,0,2,1,13,0,3,1,1,2,1,1,1,1,0,0,0
1566,15,5,12,2,2,1,2,3,7,0,1,0,0,1,0,0,0,0
1567,49,10,26,24,41,6,16,9,10,3,1,2,7,0,4,16,1,0
1568,6,14,2,5,3,6,1,0,0,1,7,5,0,1,0,0,0,1
1569,86,12,5,3,1,12,2,7,15,0,1,0,1,2,0,0,1,0
1570,29,5,9,31,4,7,3,15,6,2,1,0,34,1,0,19,1,0
1571,85,68,36,35,10,27,13,24,9,1,5,1,5,1,4,1,1,1
1572,16,14,6,16,3,2,3,3,2,7,1,0,2,0,0,0,0,0
1573,2,26,2,1,2,1,0,1,1,1,3,2,0,1,0,0,0,0
1574,8,27,5,3,4,8,6,4,2,4,22,22,0,12,4,1,0,0
1575,20,7,41,7,12,6,10,10,9,3,2,1,0,1,7,0,2,0
1576,19,23,6,8,0,44,2,1,2,0,1,1,3,3,0,0,0,0
1577,52,42,21,23,23,25,12,4,6,11,8,6,4,2,2,3,1,2
1578,9,5,27,11,8,2,6,2,7,3,0,0,0,0,2,0,1,0
1579,305,259,193,135,87,85,77,66,46,42,48,29,25,30,19,10,11,14
1580,11,6,7,13,6,11,2,5,2,9,0,0,9,3,0,3,0,0
1581,14,27,5,6,2,10,0,3,1,2,6,4,2,1,0,1,0,0
1582,6,9,8,4,0,4,2,2,1,3,0,0,1,0,0,0,0,0
1583,19,14,9,10,9,3,6,0,1,7,1,1,1,1,6,1,1,0
1584,127,198,151,99,63,46,58,48,19,24,23,24,15,41,11,6,4,16
1585,50,51,36,20,8,30,18,20,12,2,2,2,5,2,2,3,0,0
1586,95,152,104,57,62,44,89,35,42,23,63,41,11,58,35,13,21,0
1587,244,276,49,62,49,133,36,33,21,37,36,18,10,32,13,3,8,0
1588,13,38,4,4,1,5,3,1,1,1,6,4,0,2,1,0,3,0
1589,26,23,35,28,60,5,22,2,8,15,2,2,2,3,3,2,1,1
1590,26,9,6,3,4,5,5,0,4,0,1,1,0,1,0,0,0,0
1591,150,129,77,46,53,32,39,20,21,13,10,5,18,16,12,4,4,1
1592,100,147,57,38,57,44,55,21,30,8,33,16,23,30,23,8,3,6
1593,73,53,32,44,24,18,14,18,7,64,6,6,8,4,2,1,3,1
1594,31,111,15,16,6,22,6,8,2,2,17,17,6,20,2,11,2,1
1595,61,42,23,15,24,15,16,5,12,16,4,4,3,5,3,4,1,2
1596,5,8,5,5,3,2,3,0,3,4,2,2,1,1,1,1,0,0
1597,88,74,51,39,41,19,27,16,8,17,18,21,6,10,5,3,3,8
1598,24,32,79,45,144,5,49,6,10,36,13,5,4,4,11,3,3,0
1599,160,215,117,84,97,54,85,22,32,50,84,35,10,36,31,2,7,6
1600,105,161,133,58,62,55,69,26,21,13,15,5,13,29,15,5,8,2
1601,53,51,129,72,45,24,48,35,14,9,5,4,3,0,1,2,3,0
1602,59,41,26,18,15,19,12,9,9,7,3,4,2,1,3,2,1,0
1603,28,23,11,25,6,11,4,11,1,0,2,1,17,2,1,2,0,0
1604,20,2,4,5,4,1,2,3,4,0,0,0,2,0,0,0,0,0
1605,410,390,115,116,61,192,96,37,37,52,124,55,22,46,39,2,13,6
1606,45,41,86,100,57,19,51,20,7,11,15,8,15,3,5,6,3,1
1607,161,67,26,34,16,32,15,22,17,16,7,6,14,6,3,7,3,3
1608,53,50,21,27,15,15,7,4,3,15,11,9,4,3,1,2,1,0
1609,127,187,65,57,16,90,25,23,25,19,33,21,19,29,6,4,9,0
1610,7,5,8,22,6,0,1,7,0,3,0,0,2,0,0,2,0,0
1611,141,128,150,149,74,49,74,50,26,99,67,53,21,51,26,5,4,10
1612,6,6,9,1,5,1,4,0,2,0,0,0,0,0,0,0,12,0
1613,234,303,227,155,102,93,108,67,38,38,83,49,35,33,29,10,24,0
1614,10,16,34,20,18,3,42,5,1,3,5,2,2,1,5,0,0,0
1615,10,6,2,5,0,2,1,4,0,1,0,0,1,1,0,0,0,0
1616,58,132,133,56,36,42,45,22,29,10,15,11,5,5,19,0,3,0
1617,66,50,89,60,99,14,45,17,13,23,15,13,5,6,10,4,3,1
1618,52,45,7,6,5,9,4,7,10,1,5,6,2,2,1,0,1,0
1619,30,4,3,3,3,4,1,1,5,0,0,0,2,0,0,0,2,0
1620,17,7,9,9,3,6,3,28,1,0,0,0,2,0,0,3,0,0
1621,8,4,8,10,3,2,3,2,0,2,1,1,0,0,0,0,0,1
1622,15,6,8,2,5,5,2,0,19,0,0,0,1,1,0,0,1,1
1623,16,24,23,16,45,6,13,3,6,9,4,1,2,1,5,2,2,0
1624,61,84,224,92,134,26,89,32,19,32,17,6,9,5,14,3,9,0
1625,26,17,1,4,1,7,3,1,1,0,1,1,1,3,0,4,0,0
1626,158,66,28,48,24,31,8,15,11,95,3,3,12,4,2,0,0,1
1627,15,17,16,15,9,3,3,4,2,2,0,0,3,0,1,0,0,0
1628,199,146,132,87,63,55,49,44,26,25,20,20,18,8,7,7,4,13
1629,11,11,57,30,17,8,18,11,7,3,1,2,1,0,0,0,0,0
1630,19,15,48,55,75,8,17,9,3,20,5,0,35,0,4,4,2,1
1631,65,217,18,12,8,59,10,11,8,6,36,10,5,14,6,1,6,0
1632,398,217,169,86,110,95,85,46,61,24,48,45,23,40,21,11,13,14
1633,13,10,7,10,5,4,5,1,2,5,2,1,1,3,0,0,1,0
1634,38,51,22,11,23,32,18,1,7,0,15,4,2,0,2,0,1,0
1635,185,288,251,144,135,77,128,56,42,73,98,66,28,40,37,12,23,7
1636,82,52,36,43,17,23,8,10,8,12,7,6,5,3,1,1,2,0
1637,10,17,31,24,53,2,20,2,4,17,7,2,1,3,8,1,2,1
1638,20,16,2,9,3,2,4,4,1,1,1,3,3,1,0,6,0,1
1639,211,173,138,137,63,74,48,47,25,80,15,10,28,12,7,8,9,2
1640,39,36,105,76,31,19,27,10,7,12,1,0,7,0,1,0,1,0
1641,43,50,69,74,81,16,28,17,7,83,10,5,10,2,12,2,2,0
1642,32,18,20,7,12,6,7,5,8,4,3,0,3,4,2,1,6,0
1643,67,25,71,140,38,20,22,22,8,53,1,2,20,0,1,16,4,0
1644,16,10,15,15,9,4,6,2,4,5,0,2,3,1,0,0,2,0
1645,89,371,73,40,44,69,62,19,16,26,77,27,9,23,39,3,12,0
1646,42,12,17,9,8,10,1,3,28,2,0,0,0,1,0,0,1,0
1647,212,354,267,121,140,104,140,53,45,98,110,52,21,37,47,4,22,3
1648,53,70,25,37,16,26,19,17,12,3,13,3,25,6,3,5,5,1
1649,25,10,13,8,24,6,15,6,7,1,10,0,2,0,19,2,1,0
1650,69,72,47,37,39,20,21,30,17,27,21,18,12,8,7,10,8,6
1651,18,4,15,5,8,6,5,0,23,0,0,0,0,0,1,0,3,0
1652,11,13,7,3,4,4,3,2,4,2,1,0,0,3,0,0,1,0
1653,11,14,2,3,0,1,2,0,0,2,3,3,1,1,0,0,0,1
1654,33,8,6,5,2,5,2,4,4,0,0,1,1,1,0,1,1,5
1655,39,86,50,39,23,19,35,12,10,7,25,19,5,12,12,1,0,1
1656,9,1,14,7,6,1,4,2,2,0,2,4,0,2,0,1,0,0
1657,14,19,0,1,2,4,3,1,1,0,33,17,0,12,2,0,0,0
1658,152,161,86,61,77,47,49,37,21,15,20,16,14,8,15,6,8,7
1659,16,26,13,9,9,8,6,3,3,7,4,2,1,5,2,0,0,0
1660,44,17,5,5,2,10,3,7,4,0,1,0,1,0,1,1,0,4
1661,25,5,5,6,2,5,2,2,5,0,0,0,0,1,0,0,2,2
1662,8,8,6,8,3,6,2,2,1,0,1,0,0,1,0,1,1,0
1663,39,6,7,5,6,8,4,4,4,0,0,0,0,0,0,0,1,0
1664,6,14,2,0,1,6,1,0,2,0,4,5,0,2,0,0,0,0
1665,10,6,32,14,58,3,15,4,7,9,4,0,1,1,5,2,0,0
1666,179,114,114,104,33,63,38,44,31,24,7,5,20,1,7,5,10,1
1667,142,74,306,123,85,41,102,92,102,33,3,0,16,2,8,9,57,1
1668,26,2,5,7,1,4,3,4,7,0,1,0,1,1,0,1,0,0
1669,13,25,2,0,0,8,0,1,3,1,3,2,0,1,0,0,0,0
1670,32,25,2,4,5,14,3,2,5,6,2,2,1,4,3,0,1,0
1671,273,249,68,76,101,99,65,24,31,31,41,21,30,53,20,15,7,11
1672,13,18,20,6,8,5,5,3,5,2,3,2,0,0,2,0,0,1
1673,9,30,32,6,45,6,33,1,6,2,13,8,3,3,12,0,1,0
1674,8,20,0,1,1,6,0,0,0,0,4,2,0,1,1,0,0,0
1675,54,92,273,121,176,36,132,34,32,172,82,60,13,27,47,2,7,0
1676,144,365,205,191,143,86,146,43,24,132,139,83,24,45,40,3,12,2
1677,15,17,11,11,4,2,6,3,1,2,5,4,2,1,1,1,0,1
1678,33,45,26,33,28,13,16,8,7,16,9,11,7,2,9,2,0,0
1679,21,29,20,24,12,9,7,4,1,8,5,6,2,1,2,2,2,0
1680,631,640,305,325,200,215,181,101,57,262,177,82,70,66,54,20,21,31
1681,46,45,30,14,23,9,22,7,9,17,8,5,1,5,10,3,2,0
1682,11,6,8,3,7,4,4,4,2,7,0,0,2,0,1,0,0,0
1683,70,70,26,13,16,34,22,7,5,27,9,6,4,5,10,3,1,0
1684,27,35,8,10,5,7,5,2,3,4,8,5,2,3,2,0,0,0
1685,218,171,48,47,29,51,26,22,30,22,5,4,15,9,7,8,9,9
1686,10,13,6,5,5,3,4,1,1,0,2,0,0,1,1,0,0,0
1687,67,333,40,23,22,51,26,28,10,26,22,9,8,13,12,2,9,2
1688,24,45,30,18,34,17,29,3,4,19,23,23,3,22,2,3,0,0
1689,10,29,66,32,41,15,70,10,5,17,21,6,2,2,36,1,3,0
1690,58,59,22,28,11,23,9,11,0,11,10,8,4,4,3,2,3,0
1691,17,29,21,6,9,4,12,8,4,1,3,1,0,1,5,1,0,0
1692,128,45,27,28,18,29,14,20,24,12,4,2,9,6,2,6,3,4
1693,142,90,47,57,24,41,20,23,32,16,19,12,15,15,4,16,10,2
1694,100,162,140,89,59,82,81,39,28,33,20,21,14,10,15,10,4,0
1695,36,50,115,46,110,13,58,14,17,21,14,15,3,5,9,3,4,0
1696,163,46,187,79,56,32,55,42,33,9,2,1,11,4,4,0,8,0
1697,156,122,48,48,24,58,29,17,25,15,53,30,11,31,7,4,6,0
1698,402,289,169,129,104,109,96,69,60,62,67,57,35,54,29,18,23,36
1699,153,151,22,44,20,56,19,24,30,9,15,10,22,36,6,21,7,11
1700,18,24,9,6,5,5,2,1,3,1,1,2,0,0,1,0,0,1
1701,330,154,68,78,34,100,32,28,35,30,30,26,15,32,8,12,16,2
1702,27,35,17,10,14,9,12,3,7,6,10,8,1,3,5,1,2,0
1703,8,3,17,7,17,2,9,2,3,3,1,0,0,0,1,1,0,0
1704,7,14,15,5,9,3,11,6,4,4,2,2,2,0,3,0,0,0
1705,27,35,8,18,6,21,4,4,0,23,8,7,3,5,0,0,0,1
1706,58,153,14,30,10,31,9,21,1,7,13,10,7,7,4,28,2,3
1707,61,19,8,20,3,12,3,10,7,2,1,0,5,2,1,3,1,0
1708,5,10,6,7,4,1,4,1,1,6,1,1,2,0,0,3,0,0
1709,23,207,22,6,14,31,18,9,4,11,41,11,4,13,7,0,7,0
1710,18,32,18,10,8,11,13,9,2,3,19,21,1,7,2,1,0,0
1711,18,12,1,4,2,10,0,3,1,0,0,0,1,1,0,0,0,0
1712,227,165,96,104,52,61,46,42,34,37,18,12,19,12,11,8,15,6
1713,10,5,5,5,2,1,0,1,1,0,1,1,0,0,1,0,0,1
1714,60,145,83,32,75,45,51,17,9,7,19,17,13,7,21,4,3,0
1715,15,23,16,11,4,2,3,6,3,1,1,1,2,0,1,0,0,1
1716,86,61,28,43,26,32,12,14,13,19,28,18,11,10,7,1,1,0
1717,181,108,85,77,115,40,44,31,33,30,7,2,21,14,10,9,6,12
1718,14,10,7,12,3,3,3,16,1,3,0,0,2,0,0,1,0,0
1719,8,12,4,5,2,1,2,1,1,2,3,2,1,2,0,0,0,0
1720,23,13,13,11,8,1,6,2,3,6,2,0,1,2,2,0,1,0
1721,4,110,10,3,15,11,9,3,4,8,37,10,2,4,10,0,2,0
1722,15,27,41,39,85,3,23,4,6,147,3,2,4,1,4,2,1,0
1723,17,17,81,37,121,7,47,4,8,17,5,2,5,1,11,3,3,0
1724,104,45,31,24,12,56,14,16,13,4,3,4,5,3,5,1,1,0
1725,9,9,14,15,7,3,9,2,3,7,1,1,1,1,0,0,2,0
1726,65,61,331,103,99,34,115,35,32,21,35,7,8,5,52,0,10,0
1727,120,260,189,63,83,61,96,64,30,26,33,18,5,27,17,7,12,15
1728,2,14,8,3,3,5,5,0,2,6,28,32,1,15,1,1,1,0
1729,31,21,8,8,5,5,5,4,2,3,2,3,1,2,0,0,0,2
1730,8,10,4,3,4,1,3,2,1,5,2,0,0,2,0,0,0,0
1731,33,26,7,11,6,10,3,2,2,8,0,0,2,3,1,1,0,5
1732,20,11,9,8,4,2,3,2,4,2,0,0,0,0,0,0,0,0
1733,270,251,169,199,113,58,72,87,30,174,28,24,44,15,17,9,11,16
1734,70,13,6,1,2,9,3,9,13,0,0,0,3,0,0,1,2,0
1735,17,72,8,5,3,12,2,7,2,1,7,5,2,2,1,0,0,0
1736,53,78,51,17,31,17,40,6,15,15,19,10,5,4,13,1,3,0
1737,166,296,236,182,122,96,114,48,34,125,52,20,27,14,24,4,9,1
1738,23,30,13,15,10,2,5,1,0,4,7,6,1,4,0,0,0,1
1739,38,34,14,12,3,11,3,3,7,1,2,0,1,0,1,0,0,2
1740,28,15,9,14,8,8,8,10,6,5,1,1,6,7,1,7,2,1
1741,294,107,257,125,216,123,100,54,60,45,16,10,19,9,17,5,11,0
1742,11,6,21,14,12,4,8,5,3,10,7,4,1,0,10,5,0,0
1743,21,30,24,23,16,6,9,5,4,12,7,4,5,4,8,9,6,4
1744,94,64,16,11,8,19,10,14,15,1,9,2,3,5,7,1,1,1
1745,33,6,23,25,12,9,7,4,6,9,1,1,4,1,2,0,1,0
1746,42,86,98,55,176,12,73,6,14,39,74,54,5,30,22,3,6,19
1747,29,51,16,14,17,7,16,6,4,9,15,9,6,7,4,3,2,0
1748,222,123,172,166,78,62,65,47,88,27,15,12,46,22,3,21,14,9
1749,290,187,57,58,46,67,27,55,28,37,36,41,19,25,7,18,15,10
1750,32,27,10,15,12,6,5,1,5,10,3,2,3,4,1,1,1,1
1751,7,6,8,3,5,3,4,0,3,0,1,1,0,2,0,0,0,0
1752,182,113,145,105,82,51,72,66,32,25,18,19,15,15,12,10,5,5
1753,82,68,125,73,37,28,41,29,23,7,12,6,7,7,24,3,4,40
1754,11,13,8,5,6,3,4,3,2,2,0,0,1,1,1,0,0,0
1755,115,173,40,47,18,101,32,17,15,22,48,33,25,47,16,3,2,0
1756,17,21,10,10,1,8,4,1,3,2,7,6,1,2,3,1,0,0
